inputFileName=s386.bench; numberOfInputs=13; numberOfOutputs=13; numberOfGates=159; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i198; v9bar; 0; 2; 0.012578616352201259; 2; 2; 8; [i198, v9bar]; [v9, lv13_d_12]; [i198, v9bar]; [v13_d_12, i114, i96, i93, i90, i98, i63, i54, i51, lv13_d_7, i158, lv13_d_0, lv13_d_5, lv13_d_4, i17, lv13_d_6, lv13_d_1]; i198; 11; 19451
1; i198; v13_d_12; 2; 2; 0.012578616352201259; 1; 1; 2; [i198, v13_d_12]; [lv13_d_12]; [v13_d_12]; []; v13_d_12; 0; 9164
2; i198; i222; 0; 2; 0.012578616352201259; 2; 2; 8; [i198, i222]; [lv13_d_12, lv13_d_4]; [i198, i222]; [v13_d_12, v13_d_4]; i198; 00; 6065
3; i198; i89; 0; 2; 0.012578616352201259; 4; 2; 32; [i198, i89]; [lv13_d_12, v5bar, v7bar, v8bar]; [i198, i89]; [v13_d_12, i94]; i198; 1101; 8774
4; i198; i66; 0; 2; 0.012578616352201259; 3; 2; 16; [i198, i66]; [lv13_d_12, v4, v7]; [i198, i66]; [v13_d_12, b36b]; i66; 110; 233
5; i198; lv13_d_0; 0; 2; 0.012578616352201259; 5; 2; 64; [i198, lv13_d_0]; [lv13_d_12, v9bar, v10bar, v12bar, i164]; [i198, lv13_d_0]; [v13_d_12, i234]; lv13_d_0; 01011; 81
6; i198; i192; 0; 2; 0.012578616352201259; 4; 2; 32; [i198, i192]; [lv13_d_12, b37b, v0, v1bar]; [i198, i192]; [v13_d_12, lv13_d_6]; i198; 1010; 6250
7; i198; b29b; 0; 2; 0.012578616352201259; 3; 2; 16; [i198, b29b]; [lv13_d_12, i105, i106]; [i198, b29b]; [v13_d_12, i44]; i198; 001; 11581
8; i198; b26b; 0; 2; 0.012578616352201259; 3; 2; 16; [i198, b26b]; [lv13_d_12, v0bar, i96]; [i198, b26b]; [v13_d_12, i36]; b26b; 101; 6149
9; v13_d_0; v0bar; 0; 2; 0.012578616352201259; 2; 2; 8; [v13_d_0, v0bar]; [v0, i234]; [v13_d_0, v0bar]; [i64, i54, i25, i18, b26b]; v0bar; 11; 3697
10; v13_d_0; i231; 0; 2; 0.012578616352201259; 2; 2; 8; [v13_d_0, i231]; [lv13_d_1, i234]; [v13_d_0, i231]; [v13_d_1]; v13_d_0; 11; 18012
11; v13_d_0; i64; 0; 2; 0.012578616352201259; 5; 2; 64; [v13_d_0, i64]; [i234, v0bar, v5, v7bar, v8bar]; [v13_d_0, i64]; [lv13_d_12]; i64; 01000; 7321
12; v13_d_0; i93; 0; 2; 0.012578616352201259; 3; 2; 16; [v13_d_0, i93]; [i234, v9bar, v10bar]; [v13_d_0, i93]; [b27b]; i93; 000; 3318
13; v13_d_0; i104; 0; 2; 0.012578616352201259; 4; 2; 32; [v13_d_0, i104]; [i234, v2, v3, v8]; [v13_d_0, i104]; [i85]; v13_d_0; 0000; 9133
14; v13_d_0; i54; 0; 2; 0.012578616352201259; 4; 2; 32; [v13_d_0, i54]; [i234, v0bar, v9bar, v10bar]; [v13_d_0, i54]; [b28b]; v13_d_0; 0111; 15864
15; v13_d_0; i44; 0; 2; 0.012578616352201259; 3; 2; 16; [v13_d_0, i44]; [i234, v8bar, b29b]; [v13_d_0, i44]; [b31b]; v13_d_0; 011; 15578
16; v13_d_0; lv13_d_9; 0; 2; 0.012578616352201259; 4; 2; 32; [v13_d_0, lv13_d_9]; [i234, v11bar, v12bar, i158]; [v13_d_0, lv13_d_9]; [i207]; lv13_d_9; 1101; 239
17; v13_d_0; i175; 0; 2; 0.012578616352201259; 4; 2; 32; [v13_d_0, i175]; [i234, v0, v7bar, v8bar]; [v13_d_0, i175]; [i28]; i175; 0000; 20287
18; v13_d_0; b34b; 8; 8; 0.050314465408805034; 10; 3; 3072; [b34b, b34bbar, i47, b15b, i164, lv13_d_0, i234, v13_d_0]; [v4bar, v11bar, v0, v1bar, v9bar, v10bar, v12bar, v8bar, v3, i48]; [v13_d_0, b34bbar, b34b]; [i76, i73, i71, ii65]; b34bbar; 1100101000; 5768
19; v13_d_0; b36b; 0; 2; 0.012578616352201259; 3; 2; 16; [v13_d_0, b36b]; [i234, ii65, i66]; [v13_d_0, b36b]; [i31]; v13_d_0; 011; 3011
20; v13_d_0; b45b; 0; 2; 0.012578616352201259; 3; 2; 16; [v13_d_0, b45b]; [i234, i27, i28]; [v13_d_0, b45b]; [i17]; b45b; 111; 5631
21; i64; i198; 3; 3; 0.018867924528301886; 5; 1; 32; [i64, lv13_d_12, i198]; [v0bar, v5, v7bar, v8bar, i65]; [i198]; [v13_d_12]; i198; 00000; 5680
22; i64; i219; 0; 2; 0.012578616352201259; 5; 2; 64; [i64, i219]; [lv13_d_5, v0bar, v5, v7bar, v8bar]; [i219, i64]; [v13_d_5, lv13_d_12]; i64; 00101; 8643
23; i64; v13_d_3; 0; 2; 0.012578616352201259; 5; 2; 64; [i64, v13_d_3]; [i225, v0bar, v5, v7bar, v8bar]; [v13_d_3, i64]; [lv13_d_12]; v13_d_3; 10100; 5840
24; i64; i228; 0; 2; 0.012578616352201259; 5; 2; 64; [i64, i228]; [lv13_d_2, v0bar, v5, v7bar, v8bar]; [i228, i64]; [v13_d_2, lv13_d_12]; i228; 10010; 2937
25; i64; i109; 0; 2; 0.012578616352201259; 7; 2; 256; [i64, i109]; [v0bar, v5, v7bar, v8bar, v3bar, v4bar, v11bar]; [i64, i109]; [lv13_d_12, b43b]; i64; 1010101; 2876
26; i64; i98; 0; 2; 0.012578616352201259; 8; 2; 512; [i64, i98]; [v0bar, v5, v7bar, v8bar, v9bar, v10, v11bar, v12bar]; [i64, i98]; [lv13_d_12, lv13_d_8]; i98; 00000001; 8299
27; i64; i51; 0; 2; 0.012578616352201259; 7; 2; 256; [i64, i51]; [v0bar, v5, v7bar, v8bar, v9bar, v10bar, v12bar]; [i64, i51]; [lv13_d_12, b22b]; i51; 1001011; 2921
28; i64; lv13_d_0; 0; 2; 0.012578616352201259; 8; 2; 512; [i64, lv13_d_0]; [v0bar, v5, v7bar, v8bar, v9bar, v10bar, v12bar, i164]; [lv13_d_0, i64]; [i234, lv13_d_12]; i64; 01011011; 3255
29; i64; b32b; 0; 2; 0.012578616352201259; 6; 2; 128; [i64, b32b]; [v0bar, v5, v7bar, v8bar, i84, i85]; [i64, b32b]; [lv13_d_12, i57]; b32b; 100111; 3102
30; i64; b28b; 0; 2; 0.012578616352201259; 6; 2; 128; [i64, b28b]; [v0bar, v5, v7bar, v8bar, i53, i54]; [i64, b28b]; [lv13_d_12, i35]; i64; 011101; 18236
