inputFileName=c2670.bench; numberOfInputs=233; numberOfOutputs=140; numberOfGates=1193; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 398; 398; 1; 1; 8.382229673093043E-4; 1; 1; 2; [398]; [219]; [398]; []; {398}; {0}; 33.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1; 398; 398; 1; 1; 8.382229673093043E-4; 1; 1; 2; [398]; [219]; [398]; []; {398}; {1}; 35.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2; 400; 400; 1; 1; 8.382229673093043E-4; 1; 1; 2; [400]; [219]; [400]; []; {400}; {0}; 44.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
3; 400; 400; 1; 1; 8.382229673093043E-4; 1; 1; 2; [400]; [219]; [400]; []; {400}; {1}; 35.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
4; 401; 401; 1; 1; 8.382229673093043E-4; 1; 1; 2; [401]; [219]; [401]; []; {401}; {0}; 41.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
5; 405; 405; 1; 1; 8.382229673093043E-4; 2; 1; 4; [405]; [1, 3]; [405]; [486]; {405}; {00}; 37.0; 0x0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
6; 405; 486; 2; 2; 0.0016764459346186086; 2; 1; 4; [405, 486]; [1, 3]; [486]; [1823]; {486}; {00}; 37.0; 0x0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
7; 405; 486; 2; 2; 0.0016764459346186086; 2; 1; 4; [405, 486]; [1, 3]; [486]; [1823]; {486}; {01}; 36.0; 0x1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
8; 405; 486; 2; 2; 0.0016764459346186086; 2; 1; 4; [405, 486]; [1, 3]; [486]; [1823]; {486}; {10}; 39.0; 1x0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
9; 405; 486; 2; 2; 0.0016764459346186086; 2; 1; 4; [405, 486]; [1, 3]; [486]; [1823]; {486}; {11}; 36.0; 1x1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
10; 405; 1823; 3; 3; 0.002514668901927913; 5; 1; 32; [405, 486, 1823]; [1, 3, 496, 224, 1591]; [1823]; [1971]; {1823}; {00101}; 33.0; 0x0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
11; 405; 1971; 4; 4; 0.003352891869237217; 5; 1; 32; [405, 486, 1823, 1971]; [1, 3, 496, 224, 1591]; [1971]; []; {1971}; {11111}; 36.0; 1x1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx0x1xxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxx
12; 408; 408; 1; 1; 8.382229673093043E-4; 1; 1; 2; [408]; [230]; [408]; [2120]; {408}; {1}; 35.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxx0xxxxxxxxxx0xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
13; 408; 2120; 2; 2; 0.0016764459346186086; 2; 1; 4; [408, 2120]; [230, 1827]; [2120]; [2358, 2368, 2386, 2469]; {2120}; {11}; 40.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxx0xxxxxxxxxx0xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
14; 419; 419; 1; 1; 8.382229673093043E-4; 1; 1; 2; [419]; [253]; [419]; []; {419}; {0}; 44.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
15; 420; 420; 1; 1; 8.382229673093043E-4; 1; 1; 2; [420]; [253]; [420]; []; {420}; {0}; 37.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16; 420; 420; 1; 1; 8.382229673093043E-4; 1; 1; 2; [420]; [253]; [420]; []; {420}; {1}; 39.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
17; 425; 425; 1; 1; 8.382229673093043E-4; 1; 1; 2; [425]; [262]; [425]; [1894]; {425}; {0}; 44.0; xxxxxxx1xxxxxxxxxxxxxxxxxxxxx1xx0xxxxxxxxxx0xxxxxxxxx011111xxxxx0xxxxxxxxxxxxx0xxxxx0xxx01x00xxxxx0xxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx1xxxxxx0x1xx11110x1x1xxxx11xxxxxxxxxxx
18; 425; 425; 1; 1; 8.382229673093043E-4; 1; 1; 2; [425]; [262]; [425]; [1894]; {425}; {1}; 47.0; xxxxxxx1xxxxxxxxxxxxxxxxxxxxx1xx0xxxxxxxxxx0xxxxxxxxx011111xxxxx0xxxxxxxxxxxxx0xxxxx0xxx01x00xxxxx0xxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx1xxxxxx1x1xx11110x1x1xxxx11xxxxxxxxxxx
19; 425; 1894; 2; 2; 0.0016764459346186086; 2; 1; 4; [425, 1894]; [262, 1637]; [1894]; [2113, 2119]; {1894}; {01}; 40.0; xxxxxxx1xxxxxxxxxxxxxxxxxxxxx1xx0xxxxxxxxxx0xxxxxxxxx011111xxxxx0xxxxxxxxxxxxx0xxxxx0xxx01x00xxxxx0xxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xx1xxxxxx0x1xx11110x1x1xxxx11xxxxxxxxxxx
20; 456; 456; 1; 1; 8.382229673093043E-4; 1; 1; 2; [456]; [290]; [456]; []; {456}; {0}; 38.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxx
21; 457; 457; 1; 1; 8.382229673093043E-4; 1; 1; 2; [457]; [290]; [457]; []; {457}; {1}; 39.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxx
22; 458; 458; 1; 1; 8.382229673093043E-4; 1; 1; 2; [458]; [290]; [458]; []; {458}; {0}; 42.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxx
23; 485; 485; 1; 1; 8.382229673093043E-4; 4; 1; 16; [485]; [309, 305, 301, 297]; [485]; [792]; {485}; {0111}; 43.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1110xxxxxxxxxxxxxxx
24; 485; 792; 2; 2; 0.0016764459346186086; 4; 1; 16; [485, 792]; [309, 305, 301, 297]; [792]; []; {792}; {0001}; 44.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1000xxxxxxxxxxxxxxx
