inputFileName=c17.bench; numberOfInputs=5; numberOfOutputs=2; numberOfGates=6; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 10; 10; 1; 1; 0.16666666666666666; 2; 1; 4; [10]; [1, 3]; [10]; [22]; {10}; {00}; 25.0; 000xx
1; 10; 10; 1; 1; 0.16666666666666666; 2; 1; 4; [10]; [1, 3]; [10]; [22]; {10}; {01}; 24.0; 001xx
2; 10; 10; 1; 1; 0.16666666666666666; 2; 1; 4; [10]; [1, 3]; [10]; [22]; {10}; {10}; 30.0; 100xx
3; 10; 10; 1; 1; 0.16666666666666666; 2; 1; 4; [10]; [1, 3]; [10]; [22]; {10}; {11}; 24.0; 101xx
4; 10; 22; 2; 2; 0.3333333333333333; 3; 1; 8; [10, 22]; [1, 3, 16]; [22]; []; {22}; {011}; 25.0; 001xx
5; 11; 11; 1; 1; 0.16666666666666666; 2; 1; 4; [11]; [3, 6]; [11]; [16, 19]; {11}; {00}; 23.0; x100x
6; 16; 16; 1; 1; 0.16666666666666666; 2; 1; 4; [16]; [2, 11]; [16]; [22, 23]; {16}; {01}; 26.0; 000xx
7; 19; 19; 1; 1; 0.16666666666666666; 2; 1; 4; [19]; [11, 7]; [19]; [23]; {19}; {10}; 24.0; x00x0
8; 19; 23; 2; 2; 0.3333333333333333; 3; 1; 8; [19, 23]; [11, 7, 16]; [23]; []; {23}; {001}; 30.0; xx110
9; 22; 22; 1; 1; 0.16666666666666666; 2; 1; 4; [22]; [10, 16]; [22]; []; {22}; {00}; 26.0; 1110x
10; 22; 22; 1; 1; 0.16666666666666666; 2; 1; 4; [22]; [10, 16]; [22]; []; {22}; {01}; 25.0; 101xx
11; 22; 22; 1; 1; 0.16666666666666666; 2; 1; 4; [22]; [10, 16]; [22]; []; {22}; {10}; 24.0; 010xx
12; 22; 22; 1; 1; 0.16666666666666666; 2; 1; 4; [22]; [10, 16]; [22]; []; {22}; {11}; 28.0; 00xxx
13; 23; 23; 1; 1; 0.16666666666666666; 2; 1; 4; [23]; [16, 19]; [23]; []; {23}; {10}; 26.0; x00x1
