inputFileName=s713.bench; numberOfInputs=54; numberOfOutputs=42; numberOfGates=393; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i652; g115; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, g115]; [g8, i172]; [i652, g115]; [g363, g338]; g115; 10; 15748
1; i652; i199; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, i199]; [g8, g76]; [i199, i652]; [g211, g363]; i652; 00; 7494
2; i652; g372; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, g372]; [g8, g371]; [i652, g372]; [g363, g238]; i652; 11; 7079
3; i652; i354; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, i354]; [g8, g293]; [i652, i354]; [g363, g146]; i652; 10; 22392
4; i652; i449; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, i449]; [g8, g178]; [i652, i449]; [g363, g179]; i652; 00; 31274
5; i652; i541; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, i541]; [g8, g300]; [i652, i541]; [g363, g150]; i652; 10; 298378
6; i652; g150; 0; 2; 0.005089058524173028; 2; 2; 8; [i652, g150]; [g8, i541]; [i652, g150]; [g363, i551, g391, g226, g242, i553]; i652; 10; 293144
7; i652; i533; 0; 2; 0.005089058524173028; 4; 2; 32; [i652, i533]; [g8, g365, g367, g373]; [i652, i533]; [g363, g265]; i652; 1101; 111813
8; i652; i521; 0; 2; 0.005089058524173028; 4; 2; 32; [i652, i521]; [g8, g391, g393, g397]; [i652, i521]; [g363, g259]; i521; 1001; 158658
9; g121; g91; 0; 2; 0.005089058524173028; 2; 2; 8; [g121, g91]; [i165, i187]; [g91, g121]; [g347]; g121; 11; 10662
10; g121; g368; 0; 2; 0.005089058524173028; 2; 2; 8; [g121, g368]; [i187, g367]; [g368, g121]; [g247, g263, i512, g347, i495]; g368; 10; 388717
11; g121; i269; 0; 2; 0.005089058524173028; 2; 2; 8; [g121, i269]; [i187, g344]; [i269, g121]; [g345, g347]; g121; 10; 415703
12; g121; i386; 0; 2; 0.005089058524173028; 2; 2; 8; [g121, i386]; [i187, g198]; [i386, g121]; [g373, g347]; i386; 11; 420348
13; g121; i517; 0; 2; 0.005089058524173028; 2; 2; 8; [g121, i517]; [i187, g134]; [i517, g121]; [g327, g347]; g121; 11; 197482
14; g121; g344; 0; 2; 0.005089058524173028; 3; 2; 16; [g121, g344]; [i187, g118, g119]; [g344, g121]; [i266, i269, g347]; g121; 011; 506811
15; g121; i553; 0; 2; 0.005089058524173028; 4; 2; 32; [g121, i553]; [i187, g366, g150, g393]; [g121, i553]; [g347, g275]; i553; 1011; 250096
