inputFileName=c499.bench; numberOfInputs=41; numberOfOutputs=32; numberOfGates=202; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 250; 250; 1; 1; 0.0049504950495049506; 2; 1; 4; [250]; [1, 5]; [250]; [290]; {250}; {00}; 28.0; 0000000000000001000000000000000000000000x
1; 250; 250; 1; 1; 0.0049504950495049506; 2; 1; 4; [250]; [1, 5]; [250]; [290]; {250}; {01}; 25.0; 0100000000000000000000000000000000000000x
2; 250; 250; 1; 1; 0.0049504950495049506; 2; 1; 4; [250]; [1, 5]; [250]; [290]; {250}; {10}; 29.0; 1000000000001000000001000000000000000000x
3; 250; 250; 1; 1; 0.0049504950495049506; 2; 1; 4; [250]; [1, 5]; [250]; [290]; {250}; {11}; 28.0; 1100000000001000000000000000000000000000x
4; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {000}; 33.0; 0000000000000001000000000000000000000000x
5; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {001}; 41.0; 0010000000000011000000000000000000000000x
6; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {010}; 29.0; 0100000000000000000000000000000000000000x
7; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {011}; 30.0; 0110000000000010000000000000000000000000x
8; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {100}; 38.0; 1000000000001000000001000000000000000000x
9; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {101}; 30.0; 1010000000000010000000000000000000000000x
10; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {110}; 32.0; 1100000000001000000000000000000000000000x
11; 250; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [250, 290]; [1, 5, 251]; [290]; [338, 340]; {290}; {111}; 35.0; 1110000000001010000000000000000000000000x
12; 251; 251; 1; 1; 0.0049504950495049506; 2; 1; 4; [251]; [9, 13]; [251]; [290]; {251}; {00}; 31.0; 0000000000000001000000000000000000000000x
13; 251; 251; 1; 1; 0.0049504950495049506; 2; 1; 4; [251]; [9, 13]; [251]; [290]; {251}; {01}; 35.0; 0001000000000000000001100000000000000000x
14; 251; 251; 1; 1; 0.0049504950495049506; 2; 1; 4; [251]; [9, 13]; [251]; [290]; {251}; {10}; 35.0; 0010000000000011000000000000000000000000x
15; 251; 251; 1; 1; 0.0049504950495049506; 2; 1; 4; [251]; [9, 13]; [251]; [290]; {251}; {11}; 36.0; 0011000000000010000000000000000000000000x
16; 251; 290; 2; 2; 0.009900990099009901; 3; 1; 8; [251, 290]; [9, 13, 250]; [290]; [338, 340]; {290}; {011}; 35.0; 1001000000001000000000000000000000000000x
17; 252; 252; 1; 1; 0.0049504950495049506; 2; 1; 4; [252]; [17, 21]; [252]; [293]; {252}; {01}; 32.0; 0000010000000000000000000000000000000000x
18; 252; 293; 2; 2; 0.009900990099009901; 3; 1; 8; [252, 293]; [17, 21, 253]; [293]; [338, 341]; {293}; {000}; 33.0; 0000000000000001000000000000000000000000x
19; 253; 253; 1; 1; 0.0049504950495049506; 2; 1; 4; [253]; [25, 29]; [253]; [293]; {253}; {01}; 25.0; 0000000100000000000001100000000000000000x
20; 253; 293; 2; 2; 0.009900990099009901; 3; 1; 8; [253, 293]; [25, 29, 252]; [293]; [338, 341]; {293}; {101}; 26.0; 0000101000000010000000000000000000000000x
21; 254; 254; 1; 1; 0.0049504950495049506; 2; 1; 4; [254]; [33, 37]; [254]; [296]; {254}; {11}; 30.0; 0000100011000000000000000000000000000000x
22; 254; 296; 2; 2; 0.009900990099009901; 3; 1; 8; [254, 296]; [33, 37, 255]; [296]; [339, 340]; {296}; {010}; 36.0; 0000000001000000000000000000000000000000x
23; 255; 255; 1; 1; 0.0049504950495049506; 2; 1; 4; [255]; [41, 45]; [255]; [296]; {255}; {00}; 31.0; 0000000100000000000000000000000000000000x
24; 255; 296; 2; 2; 0.009900990099009901; 3; 1; 8; [255, 296]; [41, 45, 254]; [296]; [339, 340]; {296}; {001}; 30.0; 0000100010000000000010000000000000000000x
25; 256; 256; 1; 1; 0.0049504950495049506; 2; 1; 4; [256]; [49, 53]; [256]; [299]; {256}; {10}; 31.0; 0000100000001000000010000000000000000000x
