inputFileName=s344.bench; numberOfInputs=24; numberOfOutputs=26; numberOfGates=169; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; cntvg1vqn; cntvco0; 2; 2; 0.011834319526627219; 1; 1; 2; [cntvg1vqn, cntvco0]; [ct0]; [cntvco0]; [cntvcon1]; cntvco0; 1; 17663
1; cntvg1vqn; smvg3vs0p; 0; 2; 0.011834319526627219; 2; 2; 8; [cntvg1vqn, smvg3vs0p]; [ct0, smvs0n]; [cntvg1vqn, smvg3vs0p]; [cntvco0, smvg3vg1vad2nf]; smvg3vs0p; 11; 7654
2; cntvg1vqn; s0; 0; 2; 0.011834319526627219; 2; 2; 8; [cntvg1vqn, s0]; [ct0, addvg1vp]; [cntvg1vqn, s0]; [cntvco0, mrvg4vdvad1nf]; s0; 11; 133
3; cntvg1vqn; addvg3vcnvad1nf; 0; 2; 0.011834319526627219; 3; 2; 16; [cntvg1vqn, addvg3vcnvad1nf]; [ct0, ad2, p6]; [cntvg1vqn, addvg3vcnvad1nf]; [cntvco0, addvg3vcn]; cntvg1vqn; 100; 8361
4; cntvg1vqn; addvg4vcnvad3nf; 0; 2; 0.011834319526627219; 3; 2; 16; [cntvg1vqn, addvg4vcnvad3nf]; [ct0, addvg4vcnvor2nf, addvg4vcn]; [cntvg1vqn, addvg4vcnvad3nf]; [cntvco0, addvg4vsn]; addvg4vcnvad3nf; 001; 4550
5; cntvg1vqn; cntvg2vg2vor1nf; 0; 2; 0.011834319526627219; 3; 2; 16; [cntvg1vqn, cntvg2vg2vor1nf]; [ct0, ct1, cntvg2vd1]; [cntvg1vqn, cntvg2vg2vor1nf]; [cntvco0, cntvg2vz]; cntvg1vqn; 110; 15021
6; cntvg1vqn; acvg4vd1; 0; 2; 0.011834319526627219; 3; 2; 16; [cntvg1vqn, acvg4vd1]; [ct0, acvpcn, sm3]; [acvg4vd1, cntvg1vqn]; [cntvco0]; acvg4vd1; 010; 7465
7; cntvg1vqn; addvg4vcn; 0; 2; 0.011834319526627219; 3; 2; 16; [cntvg1vqn, addvg4vcn]; [ct0, addvg4vcnvad2nf, addvg4vcnvad1nf]; [cntvg1vqn, addvg4vcn]; [cntvco0, co, addvg4vcnvad3nf]; cntvg1vqn; 001; 7741
8; ad3; p2; 0; 2; 0.011834319526627219; 2; 2; 8; [ad3, p2]; [mrvqn2, ad3n]; [p2, ad3]; [bmvg4vg1vad1nf, addvg4vcnvad1nf, mrvg2vdvad1nf, addvg4vcnvad4nf, addvg4vcnvor1nf, addvg4vcnvor2nf, p2_extra]; p2; 10; 12899
9; ad3; p1; 0; 2; 0.011834319526627219; 2; 2; 8; [ad3, p1]; [mrvqn1, ad3n]; [p1, ad3]; [bmvg3vg1vad1nf, addvg4vcnvad1nf, mrvg1vdvad1nf, addvg4vcnvad4nf, addvg4vcnvor1nf, addvg4vcnvor2nf, p1_extra]; ad3; 01; 8420
