inputFileName=c432.bench; numberOfInputs=36; numberOfOutputs=7; numberOfGates=160; unusedNode=C
trial; number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 0; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0000}; 40.0; none
0; 1; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0001}; 1201.0; none
0; 2; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0010}; 31.0; none
0; 3; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0011}; 30.0; none
0; 4; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0100}; 20.0; none
0; 5; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0101}; 460.0; none
0; 6; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0110}; 30.0; none
0; 7; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {0111}; 20.0; none
0; 8; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1000}; 20.0; none
0; 9; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1001}; 92322.0; none
0; 10; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1010}; 2431.0; none
0; 11; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1011}; 12519.0; none
0; 12; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1100}; 31.0; none
0; 13; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1101}; 90147.0; none
0; 14; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1110}; 2381.0; none
0; 15; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {290}; {1111}; 12227.0; none
0; 16; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0000}; 21.0; none
0; 17; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0001}; 26643.0; none
0; 18; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0010}; 591.0; 01100110011x00x001100110011001100100x
0; 19; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0011}; 830.0; x0xxx00x0x1111x011001110011001100110x
0; 20; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0100}; 31.0; none
0; 21; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0101}; 8830.0; none
0; 22; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0110}; 211.0; 01100110011101x001100110011001100100x
0; 23; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {0111}; 340.0; x0xxxx10110111x001100110011001100110x
0; 24; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {1000}; 30.0; none
0; 25; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {1001}; 26340.0; none
0; 26; 290; 343; 0; 2; 0.0125; 4; 2; 32; [290, 343]; [233, 188, 309, 285]; [290, 343]; [303, 356]; {343}; {1010}; 3303.0; none
