inputFileName=s420.1.bench; numberOfInputs=34; numberOfOutputs=17; numberOfGates=218; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i171.2; i166; 0; 2; 0.009174311926605505; 2; 2; 8; [i171.2, i166]; [x.7, i167]; [i171.2, i166]; [i171.3, i168.1]; i171.2; 01; 6225
1; i171.2; i269.2; 0; 2; 0.009174311926605505; 2; 2; 8; [i171.2, i269.2]; [x.7, x.11]; [i171.2, i269.2]; [i171.3, i269.3]; i171.2; 10; 15162
2; i171.2; i284.2; 0; 2; 0.009174311926605505; 2; 2; 8; [i171.2, i284.2]; [x.7, i1.3]; [i171.2, i284.2]; [i171.3, i284.3]; i284.2; 00; 14966
3; i171.2; i570; 0; 2; 0.009174311926605505; 2; 2; 8; [i171.2, i570]; [x.7, p.6]; [i171.2, i570]; [i171.3, i579.2]; i171.2; 10; 10592
4; i171.2; i186.3; 0; 2; 0.009174311926605505; 3; 2; 16; [i171.2, i186.3]; [x.7, x.5, i186.2]; [i171.2, i186.3]; [i171.3, i113]; i186.3; 011; 18378
5; i171.2; p.13; 0; 2; 0.009174311926605505; 3; 2; 16; [i171.2, p.13]; [x.7, i408.3, i403.4]; [i171.2, p.13]; [i171.3, i631.1]; p.13; 001; 18472
6; i171.2; i627.1; 0; 2; 0.009174311926605505; 3; 2; 16; [i171.2, i627.1]; [x.7, i619, i623]; [i171.2, i627.1]; [i171.3, i533.4]; i627.1; 000; 367859
7; i171.2; i210; 0; 2; 0.009174311926605505; 3; 2; 16; [i171.2, i210]; [x.7, i203.3, i203.4]; [i210, i171.2]; [i171.3]; i210; 100; 314231
8; i171.2; i403.4; 0; 2; 0.009174311926605505; 3; 2; 16; [i171.2, i403.4]; [x.7, i494, i495]; [i171.2, i403.4]; [i171.3, p.13]; i171.2; 100; 9674
9; i246; i7.2; 0; 2; 0.009174311926605505; 2; 2; 8; [i246, i7.2]; [x.2, x.11]; [i7.2, i246]; [i7.3, i266.1, i291.1, i2.3]; i7.2; 01; 191033
