inputFileName=c880.bench; numberOfInputs=60; numberOfOutputs=26; numberOfGates=383; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0000}; 34.0; 0000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0001}; 32.0; 0001xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0010}; 33.0; 0010xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
3; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0011}; 42.0; 0011xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
4; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0100}; 43.0; 0100xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
5; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0101}; 36.0; 0101xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
6; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0110}; 32.0; 0110xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
7; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {0111}; 33.0; 0111xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
8; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {1000}; 24.0; 1000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
9; 269; 269; 1; 1; 0.0026109660574412533; 4; 1; 16; [269]; [1, 8, 13, 17]; [269]; [342]; {269}; {1001}; 45.0; 1001xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
