inputFileName=s15850.1.bench; numberOfInputs=611; numberOfOutputs=684; numberOfGates=9775; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i13117; g7767; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g7767]; [g7904, i12466]; [g7767, i13117]; [g8192]; g7767; 11; 18049
1; i13117; g5419; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g5419]; [g7904, i8858]; [i13117, g5419]; [g8192, i9807]; i13117; 11; 5882
2; i13117; g6289; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g6289]; [g7904, i10126]; [g6289, i13117]; [g8192]; g6289; 00; 5491
3; i13117; g11424; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g11424]; [g7904, i17327]; [i13117, g11424]; [g8192, i17424]; g11424; 01; 10983
4; i13117; g8588; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g8588]; [g7904, i13831]; [g8588, i13117]; [i13975, g8192]; g8588; 11; 14009
5; i13117; g3913; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [i13117, g3913]; [g7904, g2920]; [i13117, g3913]; [g8192, g4490]; g3913; 00; 5663
6; i13117; g10518; 0; 2; 2.0460358056265986E-4; 4; 2; 32; [i13117, g10518]; [g7904, g10513, g10440, i16145]; [i13117, g10518]; [g8192, g10583, i16469, i16467]; i13117; 0010; 5648
7; i13117; g8718; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [i13117, g8718]; [g7904, g8600, g7903]; [i13117, g8718]; [g8192, g8806]; i13117; 001; 5616
8; i13117; i6468; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [i13117, i6468]; [g7904, g23, i6467]; [i13117, i6468]; [g8192, g3304]; i6468; 100; 16630
9; g7949; i14382; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g7949, i14382]; [g8886, g7422]; [i14382, g7949]; [g8987, g8127]; i14382; 00; 5647
10; g7949; i4920; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g7949, i4920]; [g260, g7422]; [i4920, g7949]; [g2090, g8127]; g7949; 11; 5678
11; g7949; g7656; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g7949, g7656]; [g7422, i12265]; [g7656, g7949]; [i12535, g8127]; g7656; 01; 93
12; g7949; i15488; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g7949, i15488]; [g7422, g10116]; [i15488, g7949]; [g10164, g8127]; g7949; 01; 5601
13; g7949; i7233; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g7949, i7233]; [g7422, g2817]; [i7233, g7949]; [g4095, g8127]; i7233; 10; 5756
14; g7949; g6940; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [g7949, g6940]; [g7422, g6472, g1945]; [g7949, g6940]; [g8127, g7613]; g6940; 101; 1155
15; g7949; g11585; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [g7949, g11585]; [g7422, g1321, g11543]; [g7949, g11585]; [g8127, g11606]; g11585; 100; 247900
16; g7949; i8652; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [g7949, i8652]; [g7422, g778, i8650]; [g7949, i8652]; [g8127, g5219]; i8652; 000; 17097
17; g7949; i6487; 0; 2; 2.0460358056265986E-4; 3; 2; 16; [g7949, i6487]; [g7422, g2306, g1227]; [g7949, i6487]; [g8127, i6489, i6488]; g7949; 110; 5804
18; g7949; g8743; 0; 2; 2.0460358056265986E-4; 4; 2; 32; [g7949, g8743]; [g7422, g8617, g6971, g6964]; [g8743, g7949]; [g8858, g8127]; g7949; 0000; 140
19; g11513; i7760; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g11513, i7760]; [g3768, i17558]; [g11513, i7760]; [g4418]; g11513; 11; 5476
20; g11513; g8980; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g11513, g8980]; [i14361, i17558]; [g8980, g11513]; []; g8980; 01; 5554
21; g11513; i7291; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g11513, i7291]; [g3212, i17558]; [g11513, i7291]; [g4143]; g11513; 01; 8268
22; g11513; i5646; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g11513, i5646]; [i17558, g940]; [g11513, i5646]; [g2537]; i5646; 00; 2855
23; g11513; g11577; 0; 2; 2.0460358056265986E-4; 2; 2; 8; [g11513, g11577]; [i17558, i17613]; [g11513, g11577]; [i17636]; g11577; 01; 11092
