inputFileName=c1355.bench; numberOfInputs=41; numberOfOutputs=32; numberOfGates=546; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 242; 242; 1; 1; 0.0018315018315018315; 2; 1; 4; [242]; [225, 233]; [242]; [730, 754]; {242}; {00}; 46.0; 011000010000000000000000001010010xxxxxxx0
1; 242; 242; 1; 1; 0.0018315018315018315; 2; 1; 4; [242]; [225, 233]; [242]; [730, 754]; {242}; {01}; 43.0; 00000001000000000000000010010000000010011
2; 242; 242; 1; 1; 0.0018315018315018315; 2; 1; 4; [242]; [225, 233]; [242]; [730, 754]; {242}; {10}; 37.0; 011000010000000000000000001010011xxxxxxx0
3; 242; 242; 1; 1; 0.0018315018315018315; 2; 1; 4; [242]; [225, 233]; [242]; [730, 754]; {242}; {11}; 40.0; 00000001000000000000000010010000100010011
4; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {000}; 37.0; 011000010000000000000000001010010xxxxxxx0
5; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {001}; 45.0; 000000010010000010110000000000000xxxxxxx0
6; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {010}; 50.0; 00000001000000000000000010010000000010011
7; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {011}; 37.0; 00000001000000000100000010010000000100011
8; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {100}; 50.0; 011000010000000000000000001010011xxxxxxx0
9; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {101}; 41.0; 000000010010000010110000000000001xxxxxxx0
10; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {110}; 46.0; 00000001000000000000000010010000100010011
11; 242; 770; 5; 5; 0.009157509157509158; 3; 1; 8; [242, 730, 754, 755, 770]; [225, 233, 718]; [770]; [794, 819]; {770}; {111}; 50.0; 00000001000000000100000010010000100100011
12; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0000}; 39.0; 001000000001000010100000000001000xxxxxxx0
13; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0001}; 40.0; 100000000001000000000000001001000xxxxxxx0
14; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0010}; 48.0; none
15; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0011}; 47.0; none
16; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0100}; 42.0; 00000000000100000010010000000000000001101
17; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0101}; 51.0; 00001000000100000000000001000010000000001
18; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0110}; 38.0; none
19; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {0111}; 46.0; none
20; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1000}; 57.0; 001000000001000010100000000001001xxxxxxx0
21; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1001}; 40.0; 100000000001000000000000001001001xxxxxxx0
22; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1010}; 50.0; none
23; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1011}; 45.0; none
24; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1100}; 45.0; 00000000000100000010010000000000100001101
25; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1101}; 43.0; 00001000000100000000000001000010100000001
26; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1110}; 56.0; none
27; 242; 834; 9; 9; 0.016483516483516484; 4; 1; 16; [242, 730, 754, 755, 770, 794, 818, 819, 834]; [225, 233, 718, 642]; [834]; [938, 941, 944, 974, 976, 981, 1016, 1021, 1036, 1048, 1060, 1072]; {834}; {1111}; 75.0; none
28; 245; 245; 1; 1; 0.0018315018315018315; 2; 1; 4; [245]; [226, 233]; [245]; [733, 756]; {245}; {01}; 54.0; 00000001000000001001000000000000000010011
29; 245; 773; 5; 5; 0.009157509157509158; 3; 1; 8; [245, 733, 756, 757, 773]; [226, 233, 721]; [773]; [797, 821]; {773}; {010}; 36.0; 00000001000000001001000000000000000010011
