inputFileName=s382.bench; numberOfInputs=24; numberOfOutputs=27; numberOfGates=158; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; olatch_y1l; uc_15; 0; 2; 0.012658227848101266; 2; 2; 8; [olatch_y1l, uc_15]; [olatchvuc_6, uc_11]; [uc_15, olatch_y1l]; [c1vco0, outbufvbufy1vir1, c1vco2, c1vco1]; olatch_y1l; 00; 14510
1; olatch_y1l; tcombvnfm; 0; 2; 0.012658227848101266; 2; 2; 8; [olatch_y1l, tcombvnfm]; [olatchvuc_6, fml]; [olatch_y1l, tcombvnfm]; [outbufvbufy1vir1, tcombvnode8vor1nf, tcombvnode8vor2nf, tcombvnode4vor1nf, tcombvnode6, tcombvnode15]; tcombvnfm; 01; 4712
2; olatch_y1l; clrb; 0; 2; 0.012658227848101266; 2; 2; 8; [olatch_y1l, clrb]; [olatchvuc_6, clrbvir1]; [olatch_y1l, clrb]; [outbufvbufy1vir1, testlvinlatchvcdn, fmlvinlatchvcdn, tcombvnclr, tcomb_ra2vor3nf, tcomb_ra2vor1nf, tcombvnode4vor2nf, tcombvnode4vor1nf, tcombvnode19, tcombvnode15, uc_11vd, uc_8vd, uc_9vd, uc_10vd, uc_16vd, uc_17vd, uc_18vd, uc_19vd, c3_q3vd, c3_q2vd, c3_q1vd, c3_q0vd]; olatch_y1l; 00; 5840
3; olatch_y1l; testb; 0; 2; 0.012658227848101266; 2; 2; 8; [olatch_y1l, testb]; [olatchvuc_6, testbvir1]; [olatch_y1l, testb]; [outbufvbufy1vir1, testlvinmuxvir1, testlvinmuxvor1nf]; testb; 00; 3964
4; olatch_y1l; tcomb_ga2vad2nf; 0; 2; 0.012658227848101266; 4; 2; 32; [olatch_y1l, tcomb_ga2vad2nf]; [olatchvuc_6, c3_q0, c3_q1, tcombvnclr]; [olatch_y1l, tcomb_ga2vad2nf]; [outbufvbufy1vir1, tcomb_ga2]; olatch_y1l; 0001; 6758
5; olatch_y1l; tcomb_ga2vad1nf; 0; 2; 0.012658227848101266; 4; 2; 32; [olatch_y1l, tcomb_ga2vad1nf]; [olatchvuc_6, tcombvnqa, c3_q3, tcombvnclr]; [olatch_y1l, tcomb_ga2vad1nf]; [outbufvbufy1vir1, tcomb_ga2]; tcomb_ga2vad1nf; 1000; 6400
6; olatch_y1l; uc_9vzvor1nf; 0; 2; 0.012658227848101266; 3; 2; 16; [olatch_y1l, uc_9vzvor1nf]; [olatchvuc_6, c1vco1, uc_9]; [olatch_y1l, uc_9vzvor1nf]; [outbufvbufy1vir1, uc_9vz]; uc_9vzvor1nf; 101; 5884
7; olatch_y1l; tcombvnode12; 0; 2; 0.012658227848101266; 5; 2; 64; [olatch_y1l, tcombvnode12]; [olatchvuc_6, tcombvnclr, tcombvnfel, tcombvnqc, c3_q1]; [olatch_y1l, tcombvnode12]; [outbufvbufy1vir1, tcomb_ya2]; tcombvnode12; 00001; 6978
8; olatch_y1l; c1vcia; 0; 2; 0.012658227848101266; 4; 2; 32; [olatch_y1l, c1vcia]; [olatchvuc_6, uc_9, uc_10, uc_11]; [olatch_y1l, c1vcia]; [outbufvbufy1vir1, c1_co]; c1vcia; 0101; 8283
9; olatch_y1l; uc_19vd; 0; 2; 0.012658227848101266; 4; 2; 32; [olatch_y1l, uc_19vd]; [olatchvuc_6, clrb, uc_19vz, c2_co]; [uc_19vd, olatch_y1l]; [outbufvbufy1vir1]; olatch_y1l; 0101; 6766
