inputFileName=c3540.bench; numberOfInputs=50; numberOfOutputs=22; numberOfGates=1669; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 655; 655; 1; 1; 5.991611743559018E-4; 1; 1; 2; [655]; [50]; [655]; [1251, 1520, 3216, 3225, 3234, 3243, 3252, 3261, 3270]; {655}; {0}; 47.0; 0xxxxx0xxxxxxxxxxxxxxxxxxxxxx10000000xxxxxxxxxxxxx
1; 655; 655; 1; 1; 5.991611743559018E-4; 1; 1; 2; [655]; [50]; [655]; [1251, 1520, 3216, 3225, 3234, 3243, 3252, 3261, 3270]; {655}; {1}; 47.0; 0xxxxx1xxxxxxxxxxxxxxxxxxxxxx10000000xxxxxxxxxxxxx
2; 665; 665; 1; 1; 5.991611743559018E-4; 1; 1; 2; [665]; [50]; [665]; [1268, 2148, 2398, 2898]; {665}; {0}; 48.0; 111xxx0011xxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxx
3; 665; 665; 1; 1; 5.991611743559018E-4; 1; 1; 2; [665]; [50]; [665]; [1268, 2148, 2398, 2898]; {665}; {1}; 47.0; 111xxx1011xxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxx
4; 670; 670; 1; 1; 5.991611743559018E-4; 1; 1; 2; [670]; [58]; [670]; [1252, 3224, 3233, 3242, 3251, 3260, 3269, 3272]; {670}; {1}; 49.0; 0xxxxxx1xxxxxxxxxxxxxxxxxxxxx01000000xxxxxxxxxxxxx
5; 679; 679; 1; 1; 5.991611743559018E-4; 1; 1; 2; [679]; [58]; [679]; [1263, 1471, 2899]; {679}; {1}; 48.0; 01xxxx01101110xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
6; 683; 683; 1; 1; 5.991611743559018E-4; 1; 1; 2; [683]; [68]; [683]; [1267, 1729]; {683}; {0}; 47.0; 10xxxx0x0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
7; 686; 686; 1; 1; 5.991611743559018E-4; 1; 1; 2; [686]; [68]; [686]; [1263, 1475, 2900]; {686}; {0}; 32.0; 01xxxx00011110xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
8; 690; 690; 1; 1; 5.991611743559018E-4; 1; 1; 2; [690]; [68]; [690]; [1253, 3232, 3241, 3250, 3259, 3268, 3273, 3280]; {690}; {0}; 48.0; 0xxxxxxx0xxxxxxxxxxxxxxxxxxxx00100000xxxxxxxxxxxxx
9; 699; 699; 1; 1; 5.991611743559018E-4; 1; 1; 2; [699]; [77]; [699]; [1267, 2348]; {699}; {0}; 32.0; 10xxxx1010xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
10; 699; 699; 1; 1; 5.991611743559018E-4; 1; 1; 2; [699]; [77]; [699]; [1267, 2348]; {699}; {1}; 47.0; 10xxxx1011xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
11; 702; 702; 1; 1; 5.991611743559018E-4; 1; 1; 2; [702]; [77]; [702]; [1478, 1505, 2901]; {702}; {1}; 33.0; xxxxxx0001xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
12; 706; 706; 1; 1; 5.991611743559018E-4; 1; 1; 2; [706]; [77]; [706]; [1254, 3240, 3249, 3258, 3267, 3274, 3281, 3288]; {706}; {0}; 32.0; 0xxxxxxxx0xxxxxxxxxxxxxxxxxxx00010000xxxxxxxxxxxxx
13; 715; 715; 1; 1; 5.991611743559018E-4; 1; 1; 2; [715]; [87]; [715]; [1255, 3248, 3257, 3266, 3275, 3282, 3289, 3296]; {715}; {1}; 48.0; 0xxxxxxxxx1xxxxxxxxxxxxxxxxxx00001000xxxxxxxxxxxxx
14; 724; 724; 1; 1; 5.991611743559018E-4; 1; 1; 2; [724]; [87]; [724]; [1481, 2347]; {724}; {1}; 47.0; 0xx1xx01111110xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
15; 727; 727; 1; 1; 5.991611743559018E-4; 1; 1; 2; [727]; [97]; [727]; [1256, 3256, 3265, 3276, 3283, 3290, 3297, 3304]; {727}; {1}; 48.0; 0xxxxxxxxxx1xxxxxxxxxxxxxxxxx00000100xxxxxxxxxxxxx
16; 736; 736; 1; 1; 5.991611743559018E-4; 1; 1; 2; [736]; [97]; [736]; [1264, 1484, 2351]; {736}; {0}; 48.0; 0xx1xxxxxx100xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
