inputFileName=s400.bench; numberOfInputs=24; numberOfOutputs=27; numberOfGates=162; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; fmlvinlatchvcdn; testlvinmuxvir1; 0; 2; 0.012345679012345678; 2; 2; 8; [fmlvinlatchvcdn, testlvinmuxvir1]; [testb, clrb]; [fmlvinlatchvcdn, testlvinmuxvir1]; [fmlvinlatchvcdad, testlvinmuxvor2nf]; testlvinmuxvir1; 00; 5253
1; fmlvinlatchvcdn; ylw1; 0; 2; 0.012345679012345678; 2; 2; 8; [fmlvinlatchvcdn, ylw1]; [clrb, outbufvbufy1vir1]; [ylw1, fmlvinlatchvcdn]; [fmlvinlatchvcdad]; ylw1; 01; 13345
2; fmlvinlatchvcdn; grn1; 0; 2; 0.012345679012345678; 2; 2; 8; [fmlvinlatchvcdn, grn1]; [clrb, outbufvbufg1vir1]; [grn1, fmlvinlatchvcdn]; [fmlvinlatchvcdad]; fmlvinlatchvcdn; 01; 19797
3; fmlvinlatchvcdn; uc_12; 0; 2; 0.012345679012345678; 2; 2; 8; [fmlvinlatchvcdn, uc_12]; [clrb, uc_8]; [fmlvinlatchvcdn, uc_12]; [fmlvinlatchvcdad, c1_co]; uc_12; 01; 4562
4; fmlvinlatchvcdn; tcombvnqc; 0; 2; 0.012345679012345678; 2; 2; 8; [fmlvinlatchvcdn, tcombvnqc]; [clrb, c3_q2]; [fmlvinlatchvcdn, tcombvnqc]; [fmlvinlatchvcdad, tcombvnode16vor1nf, tcomb_ra2vor3nf, tcombvnode4vor1nf, tcombvnode12, tcombvnode15]; tcombvnqc; 00; 4060
5; fmlvinlatchvcdn; testlvinmuxvor2nf; 0; 2; 0.012345679012345678; 3; 2; 16; [fmlvinlatchvcdn, testlvinmuxvor2nf]; [clrb, testlvinmuxvir1, testlvinlatchn]; [fmlvinlatchvcdn, testlvinmuxvor2nf]; [fmlvinlatchvcdad, testlvinmuxvnd1]; fmlvinlatchvcdn; 111; 3364
6; fmlvinlatchvcdn; c3_q0vzvor1nf; 0; 2; 0.012345679012345678; 3; 2; 16; [fmlvinlatchvcdn, c3_q0vzvor1nf]; [clrb, c3vinhn, c3_q0]; [fmlvinlatchvcdn, c3_q0vzvor1nf]; [fmlvinlatchvcdad, c3_q0vz]; c3_q0vzvor1nf; 000; 3957
7; fmlvinlatchvcdn; uc_16vz; 0; 2; 0.012345679012345678; 3; 2; 16; [fmlvinlatchvcdn, uc_16vz]; [clrb, uc_16vzvor1nf, uc_16vuc_0]; [fmlvinlatchvcdn, uc_16vz]; [fmlvinlatchvcdad, uc_16vd]; fmlvinlatchvcdn; 010; 3487
8; fmlvinlatchvcdn; c3_q2vd; 0; 2; 0.012345679012345678; 3; 2; 16; [fmlvinlatchvcdn, c3_q2vd]; [clrb, c3_q2vz, uc_27]; [c3_q2vd, fmlvinlatchvcdn]; [fmlvinlatchvcdad]; fmlvinlatchvcdn; 101; 3763
9; fmlvinlatchvcdn; r2c; 0; 2; 0.012345679012345678; 3; 2; 16; [fmlvinlatchvcdn, r2c]; [clrb, r2cvad2nf, r2cvad1nf]; [r2c, fmlvinlatchvcdn]; [fmlvinlatchvcdad]; r2c; 011; 15270
10; red2; testlvinmux; 0; 2; 0.012345679012345678; 2; 2; 8; [red2, testlvinmux]; [testlvinmuxvnd1, outbufvbufr2vir1]; [red2, testlvinmux]; [testlvinlatchvcdad]; testlvinmux; 11; 3970
11; red2; outbufvbufg2vir1; 0; 2; 0.012345679012345678; 2; 2; 8; [red2, outbufvbufg2vir1]; [outbufvbufr2vir1, olatch_g2l]; [red2, outbufvbufg2vir1]; [grn2]; red2; 11; 3496
12; red2; uc_23; 0; 2; 0.012345679012345678; 2; 2; 8; [red2, uc_23]; [outbufvbufr2vir1, c3_q3]; [red2, uc_23]; [uc_27]; uc_23; 11; 4414
13; red2; tcombvnfm; 0; 2; 0.012345679012345678; 2; 2; 8; [red2, tcombvnfm]; [outbufvbufr2vir1, fml]; [red2, tcombvnfm]; [tcombvnode4vor1nf, tcombvnode8vor2nf, tcombvnode8vor1nf, tcombvnode6, tcombvnode15]; red2; 10; 7290
14; red2; fmb; 0; 2; 0.012345679012345678; 2; 2; 8; [red2, fmb]; [outbufvbufr2vir1, fmbvir1]; [red2, fmb]; [fmlvinmuxvir1, fmlvinmuxvor1nf]; red2; 01; 8700
15; red2; uc_17vzvor1nf; 0; 2; 0.012345679012345678; 3; 2; 16; [red2, uc_17vzvor1nf]; [outbufvbufr2vir1, c2vco1, uc_17]; [red2, uc_17vzvor1nf]; [uc_17vz]; red2; 111; 11573
16; red2; tcombvnode16vor1nf; 0; 2; 0.012345679012345678; 5; 2; 64; [red2, tcombvnode16vor1nf]; [outbufvbufr2vir1, tcombvnode18, fml, c3_q3, tcombvnqc]; [red2, tcombvnode16vor1nf]; [tcombvnode16]; red2; 11001; 4657
17; red2; tcomb_ra1vor2nf; 0; 2; 0.012345679012345678; 4; 2; 32; [red2, tcomb_ra1vor2nf]; [outbufvbufr2vir1, c3_q2, c3_q3, olatch_fel]; [red2, tcomb_ra1vor2nf]; [tcomb_ra1]; tcomb_ra1vor2nf; 0100; 3859
18; red2; tcombvnode3; 0; 2; 0.012345679012345678; 4; 2; 32; [red2, tcombvnode3]; [outbufvbufr2vir1, tcombvnode4, tcombvnqb, tcombvnqa]; [red2, tcombvnode3]; [tcomb_ya1]; red2; 1100; 3296
19; red2; c1vcia; 0; 2; 0.012345679012345678; 4; 2; 32; [red2, c1vcia]; [outbufvbufr2vir1, uc_9, uc_10, uc_11]; [red2, c1vcia]; [c1_co]; c1vcia; 1100; 3766
20; outbufvbufr2vir1; fmlvinmuxvir1; 0; 2; 0.012345679012345678; 2; 2; 8; [outbufvbufr2vir1, fmlvinmuxvir1]; [fmb, olatch_r2l]; [outbufvbufr2vir1, fmlvinmuxvir1]; [red2, fmlvinmuxvor2nf]; outbufvbufr2vir1; 00; 16582
21; outbufvbufr2vir1; outbufvbufg2vir1; 0; 2; 0.012345679012345678; 2; 2; 8; [outbufvbufr2vir1, outbufvbufg2vir1]; [olatch_r2l, olatch_g2l]; [outbufvbufr2vir1, outbufvbufg2vir1]; [red2, grn2]; outbufvbufr2vir1; 10; 4825
22; outbufvbufr2vir1; c2_qn2; 0; 2; 0.012345679012345678; 2; 2; 8; [outbufvbufr2vir1, c2_qn2]; [olatch_r2l, uc_17]; [outbufvbufr2vir1, c2_qn2]; [red2, y1cvad1nf, r2cvad1nf, c2vco2]; outbufvbufr2vir1; 00; 8759
23; outbufvbufr2vir1; tcombvnfel; 0; 2; 0.012345679012345678; 2; 2; 8; [outbufvbufr2vir1, tcombvnfel]; [olatch_r2l, olatch_fel]; [outbufvbufr2vir1, tcombvnfel]; [red2, tcomb_ra2vor2nf, tcombvnode12, tcombvnode19]; tcombvnfel; 10; 24687
24; outbufvbufr2vir1; fmlvinlatchvcdad; 0; 2; 0.012345679012345678; 3; 2; 16; [outbufvbufr2vir1, fmlvinlatchvcdad]; [olatch_r2l, fmlvinlatchvcdn, fmlvinmux]; [fmlvinlatchvcdad, outbufvbufr2vir1]; [red2]; outbufvbufr2vir1; 000; 340148
25; outbufvbufr2vir1; c3_q3vzvor1nf; 0; 2; 0.012345679012345678; 3; 2; 16; [outbufvbufr2vir1, c3_q3vzvor1nf]; [olatch_r2l, c3vco2, c3_q3]; [outbufvbufr2vir1, c3_q3vzvor1nf]; [red2, c3_q3vz]; c3_q3vzvor1nf; 011; 241250
26; outbufvbufr2vir1; c3_q1vz; 0; 2; 0.012345679012345678; 3; 2; 16; [outbufvbufr2vir1, c3_q1vz]; [olatch_r2l, c3_q1vzvor1nf, c3_q1vuc_0]; [outbufvbufr2vir1, c3_q1vz]; [red2, c3_q1vd]; outbufvbufr2vir1; 101; 87287
27; outbufvbufr2vir1; uc_17vz; 0; 2; 0.012345679012345678; 3; 2; 16; [outbufvbufr2vir1, uc_17vz]; [olatch_r2l, uc_17vzvor1nf, uc_17vuc_0]; [outbufvbufr2vir1, uc_17vz]; [red2, uc_17vd]; outbufvbufr2vir1; 011; 37851
28; outbufvbufr2vir1; tcomb_ra1; 0; 2; 0.012345679012345678; 4; 2; 32; [outbufvbufr2vir1, tcomb_ra1]; [olatch_r2l, tcombvnclr, tcomb_ra1vor2nf, tcomb_ra1vor1nf]; [tcomb_ra1, outbufvbufr2vir1]; [red2]; tcomb_ra1; 0111; 127393
29; outbufvbufr2vir1; c2vco2; 0; 2; 0.012345679012345678; 5; 2; 64; [outbufvbufr2vir1, c2vco2]; [olatch_r2l, ctst, c2_qn2, uc_21, uc_22]; [outbufvbufr2vir1, c2vco2]; [red2, uc_16vzvor1nf, uc_16vuc_0]; outbufvbufr2vir1; 11011; 137532
30; outbufvbufr2vir1; uc_19vd; 0; 2; 0.012345679012345678; 4; 2; 32; [outbufvbufr2vir1, uc_19vd]; [olatch_r2l, clrb, uc_19vz, c2_co]; [uc_19vd, outbufvbufr2vir1]; [red2]; uc_19vd; 0011; 129002
31; outbufvbufr2vir1; y1c; 0; 2; 0.012345679012345678; 3; 2; 16; [outbufvbufr2vir1, y1c]; [olatch_r2l, y1cvad2nf, y1cvad1nf]; [y1c, outbufvbufr2vir1]; [red2]; outbufvbufr2vir1; 011; 103087
