inputFileName=s27.bench; numberOfInputs=7; numberOfOutputs=4; numberOfGates=11; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; g14; g14; 1; 1; 0.09090909090909091; 1; 1; 2; [g14]; [g0]; [g14]; [g8, g10]; g14; 0; 23951
1; g14; g8; 2; 2; 0.18181818181818182; 2; 2; 8; [g14, g8]; [g0, g6]; [g8, g14]; [g15, g16, g10]; g8; 01; 330
2; g14; g15; 3; 3; 0.2727272727272727; 3; 3; 24; [g14, g8, g15]; [g0, g6, g12]; [g8, g15, g14]; [g16, g9, g10]; g8; 100; 6174
3; g14; g16; 3; 3; 0.2727272727272727; 3; 3; 24; [g14, g8, g16]; [g0, g6, g3]; [g8, g16, g14]; [g15, g9, g10]; g8; 000; 9086
4; g14; g10; 7; 7; 0.6363636363636364; 5; 2; 64; [g14, g8, g15, g16, g9, g10, g11]; [g0, g6, g12, g3, g5]; [g10, g11]; [g17, g11_extra]; g10; 11011; 6097
5; g14; g11; 6; 6; 0.5454545454545454; 5; 2; 64; [g14, g8, g15, g16, g9, g11]; [g0, g6, g12, g3, g5]; [g11, g14]; [g17, g10, g11_extra]; g14; 00110; 6075
6; g14; g11_extra; 7; 7; 0.6363636363636364; 5; 3; 96; [g14, g8, g15, g16, g9, g11, g11_extra]; [g0, g6, g12, g3, g5]; [g11_extra, g11, g14]; [g17, g10]; g14; 00101; 8263
7; g17; g14; 7; 7; 0.6363636363636364; 5; 3; 96; [g14, g8, g15, g16, g9, g11, g17]; [g0, g6, g12, g3, g5]; [g17, g14, g11]; [g10, g11_extra]; g14; 00011; 38
8; g17; g8; 6; 6; 0.5454545454545454; 5; 2; 64; [g8, g15, g16, g9, g11, g17]; [g14, g6, g12, g3, g5]; [g17, g11]; [g10, g11_extra]; g11; 11001; 5729
9; g17; g16; 4; 4; 0.36363636363636365; 4; 2; 32; [g16, g9, g11, g17]; [g3, g8, g15, g5]; [g17, g11]; [g10, g11_extra]; g11; 0111; 21818
