inputFileName=s510.bench; numberOfInputs=25; numberOfOutputs=13; numberOfGates=211; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i554; i667; 0; 2; 0.009478672985781991; 2; 2; 8; [i554, i667]; [i555, i666]; [i667, i554]; [i274, i455, i787]; i667; 00; 8882
1; i554; i1116_1; 0; 2; 0.009478672985781991; 3; 2; 16; [i554, i1116_1]; [i555, i95, i603]; [i554, i1116_1]; [i455, i787, i889]; i554; 111; 7646
2; i554; i917_1; 0; 2; 0.009478672985781991; 4; 2; 32; [i554, i917_1]; [i555, i458, i494, st_5]; [i917_1, i554]; [pclr, i455, i787]; i554; 1011; 6618
3; i554; i742; 0; 2; 0.009478672985781991; 3; 2; 16; [i554, i742]; [i555, i56, st_0]; [i742, i554]; [i903_1, i455, i787, i543]; i742; 111; 313
4; i554; i232; 4; 4; 0.018957345971563982; 6; 3; 192; [i554, i455, i810, i232]; [i555, pcnt6, cnt284, i962_1, i962_2, i658]; [i455, i232, i554]; [i950_1, i1102_1, i1065_1, i787]; i455; 110101; 9208
5; i554; i209; 0; 2; 0.009478672985781991; 3; 2; 16; [i554, i209]; [i555, i946_1, i946_2]; [i209, i554]; [i1099_1, i455, i787]; i209; 001; 6508
6; i554; i213; 4; 4; 0.018957345971563982; 4; 3; 48; [i554, i455, i950_1, i213]; [i555, cnt45, i658, i950_2]; [i455, i213, i554]; [i1102_1, i810, i234, i787]; i554; 0100; 14986
7; i1059_1; i69; 0; 2; 0.009478672985781991; 3; 2; 16; [i1059_1, i69]; [pcnt12, st_5, i671]; [i69, i1059_1]; [i618, i823]; i1059_1; 011; 3330
8; i1059_1; i1059_1; 1; 1; 0.004739336492890996; 2; 1; 4; [i1059_1]; [st_5, i671]; [i1059_1]; [i823]; i1059_1; 00; 21930
9; i1059_1; i1102_1; 0; 2; 0.009478672985781991; 3; 2; 16; [i1059_1, i1102_1]; [st_5, i671, i455]; [i1102_1, i1059_1]; [i877, i823]; i1059_1; 111; 8098
10; i1059_1; i917_2; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i917_2]; [st_5, i671, i482, i590]; [i917_2, i1059_1]; [pclr, i823]; i1059_1; 1000; 12124
11; i1059_1; i104; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i104]; [st_5, i671, i933_1, i56]; [i104, i1059_1]; [i954_2, i1077_1, i823]; i104; 0110; 3059
12; i1059_1; i606; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i606]; [st_5, i671, i95, i57]; [i606, i1059_1]; [i607, i903_1, i823]; i606; 0000; 3231
13; i1059_1; i870; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i870]; [st_5, i671, i1092_1, i566]; [i1059_1, i870]; [i823, i889]; i1059_1; 0111; 14693
14; i1059_1; i555; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i555]; [st_5, i671, st_0, st_1]; [i555, i1059_1]; [i554, i1089_1, csm, i823]; i555; 0101; 22921
15; i1059_1; i583; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i583]; [st_5, i671, i511, i60]; [i583, i1059_1]; [i390, i823, i731]; i1059_1; 1101; 7390
16; i1059_1; i371; 0; 2; 0.009478672985781991; 4; 2; 32; [i1059_1, i371]; [st_5, i671, i68, i988_1]; [i1059_1, i371]; [i823, i831]; i371; 1011; 9049
17; i950_2; i73; 0; 2; 0.009478672985781991; 3; 2; 16; [i950_2, i73]; [cnt567, i463, cnt283]; [i73, i950_2]; [i985_1, i962_1, i213]; i73; 110; 2941
18; i950_2; i130; 0; 2; 0.009478672985781991; 3; 2; 16; [i950_2, i130]; [i131, i463, cnt283]; [i130, i950_2]; [i1085_1, i213]; i950_2; 111; 8213
19; i950_2; i1081_2; 0; 2; 0.009478672985781991; 4; 2; 32; [i950_2, i1081_2]; [i463, cnt283, st_2, i483]; [i950_2, i1081_2]; [i213, i861]; i950_2; 0101; 4005
20; i950_2; i574; 0; 2; 0.009478672985781991; 4; 2; 32; [i950_2, i574]; [i463, cnt283, st_3, i57]; [i574, i950_2]; [i298, i531, i787, i213]; i574; 1001; 9593
21; i950_2; i3; 0; 2; 0.009478672985781991; 5; 2; 64; [i950_2, i3]; [i463, cnt283, i903_1, i903_2, i823]; [i3, i950_2]; [i213]; i950_2; 01100; 5847
22; i950_2; i671; 0; 2; 0.009478672985781991; 4; 2; 32; [i950_2, i671]; [i463, cnt283, i458, i59]; [i671, i950_2]; [i1059_1, i1071_1, i213]; i950_2; 1011; 5983
23; i950_2; i463; 2; 2; 0.009478672985781991; 3; 2; 16; [i463, i950_2]; [cnt283, i458, i594]; [i463, i950_2]; [i462, i346, i213]; i950_2; 010; 3699
24; i950_2; i531; 0; 2; 0.009478672985781991; 4; 2; 32; [i950_2, i531]; [i463, cnt283, i574, i59]; [i531, i950_2]; [i530, i975_1, i827, i213]; i950_2; 1100; 117
25; i950_2; i217; 0; 2; 0.009478672985781991; 4; 2; 32; [i950_2, i217]; [i463, cnt283, i954_1, i954_2]; [i217, i950_2]; [i216, i213]; i217; 1101; 17363
26; i1081_1; i56; 4; 4; 0.018957345971563982; 5; 4; 128; [i56, i742, i543, i1081_1]; [st_5, i490, i58, st_0, i590]; [i56, i543, i742, i1081_1]; [i1102_2, i1106_2, i900_1, i903_1, i474, i570, i598, i104, i274, i603, i799, i563, i559, i861]; i543; 11100; 554
27; i1081_1; i798; 0; 2; 0.009478672985781991; 4; 2; 32; [i1081_1, i798]; [i799, i543, i490, i58]; [i798, i1081_1]; [csm, i861]; i798; 0101; 3412
28; i1081_1; i347; 0; 2; 0.009478672985781991; 4; 2; 32; [i1081_1, i347]; [i346, i543, i490, i58]; [i1081_1, i347]; [i861, i899]; i347; 0000; 9207
29; i1081_1; i985_1; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, i985_1]; [i543, i490, i58, pcnt27, i73]; [i985_1, i1081_1]; [i346, i861]; i1081_1; 10101; 5465
30; i1081_1; i1092_1; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, i1092_1]; [i543, i490, i58, st_4, i478]; [i1092_1, i1081_1]; [i870, i861]; i1092_1; 01100; 8410
31; i1081_1; i774; 0; 2; 0.009478672985781991; 6; 2; 128; [i1081_1, i774]; [i543, i490, i58, st_5, i547, i458]; [i774, i1081_1]; [i872, i861]; i1081_1; 001110; 2935
32; i1081_1; i230; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, i230]; [i543, i490, i58, i958_1, i958_2]; [i230, i1081_1]; [i1116_2, i861]; i1081_1; 00001; 3203
33; i1081_1; pc; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, pc]; [i543, i490, i58, i921_1, i837]; [pc, i1081_1]; [i861]; pc; 11010; 8599
34; i1081_1; i278; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, i278]; [i543, i490, i58, i975_1, i60]; [i278, i1081_1]; [i4, i861]; i1081_1; 10001; 3210
35; i1081_1; i663; 0; 2; 0.009478672985781991; 4; 2; 32; [i1081_1, i663]; [i543, i490, i58, st_1]; [i663, i1081_1]; [i1123_1, i566, i861]; i1081_1; 0101; 2845
36; i1081_1; i205; 0; 2; 0.009478672985781991; 5; 2; 64; [i1081_1, i205]; [i543, i490, i58, i563, i940_1]; [i205, i1081_1]; [i204, i861]; i205; 10101; 5852
37; i1065_1; i667; 0; 2; 0.009478672985781991; 3; 2; 16; [i1065_1, i667]; [i666, i475, i232]; [i667, i1065_1]; [i274, i831]; i1065_1; 111; 2923
38; i1065_1; i1055_1; 0; 2; 0.009478672985781991; 5; 2; 64; [i1065_1, i1055_1]; [i570, st_0, st_2, i475, i232]; [i1065_1, i1055_1]; [i831, i821]; i1055_1; 11011; 16544
39; i1065_1; i1085_2; 0; 2; 0.009478672985781991; 4; 2; 32; [i1065_1, i1085_2]; [i475, i232, i61, i216]; [i1065_1, i1085_2]; [i831, i863]; i1085_2; 1001; 3208
40; i1065_1; i1095_2; 0; 2; 0.009478672985781991; 3; 2; 16; [i1065_1, i1095_2]; [i475, i232, i578]; [i1095_2, i1065_1]; [i872, i831]; i1095_2; 010; 3286
