inputFileName=s13207.1.bench; numberOfInputs=700; numberOfOutputs=790; numberOfGates=7979; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; g2892; i9823; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, i9823]; [g2266, g5138]; [i9823, g2892]; [g5362, g4554]; i9823; 11; 18712
1; g2892; i12544; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, i12544]; [g2266, g6617]; [i12544, g2892]; [g6891, g4554]; i12544; 11; 11977
2; g2892; g2615; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, g2615]; [g2266, g1563]; [g2892, g2615]; [g4554, g4107]; g2892; 00; 2078
3; g2892; g6553; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, g6553]; [g2266, i11725]; [g6553, g2892]; [i12427, g4554]; g2892; 00; 33096
4; g2892; g3588; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, g3588]; [g2266, g2379]; [g3588, g2892]; [i8233, g4554]; g3588; 01; 20304
5; g2892; g6675; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, g6675]; [g2266, i11981]; [g6675, g2892]; [g4554]; g6675; 00; 8115
6; g2892; g7528; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g2892, g7528]; [g2266, i13764]; [g7528, g2892]; [g4554]; g2892; 11; 4972
7; g2892; g4304; 0; 2; 2.5065797719012406E-4; 3; 2; 16; [g2892, g4304]; [g2266, g2784, g3779]; [g2892, g4304]; [g4554, g4902]; g2892; 101; 158
8; g2892; g5765; 0; 2; 2.5065797719012406E-4; 3; 2; 16; [g2892, g5765]; [g2266, g1695, g5428]; [g2892, g5765]; [g4554, g7029]; g2892; 011; 719
9; g2892; g6949; 0; 2; 2.5065797719012406E-4; 3; 2; 16; [g2892, g6949]; [g2266, g5483, g6589]; [g2892, g6949]; [g4554, i13126]; g6949; 100; 4528
10; g2892; g5233; 0; 2; 2.5065797719012406E-4; 3; 2; 16; [g2892, g5233]; [g2266, g5089, g4420]; [g5233, g2892]; [i10497, g4554]; g5233; 001; 13952
11; g4360; i12826; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, i12826]; [i8333, g6441]; [g4360, i12826]; [i9422, g7063]; i12826; 10; 12104
12; g4360; g7023; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, g7023]; [i8333, i12779]; [g4360, g7023]; [i9422, i12942]; g4360; 10; 3740
13; g4360; g2548; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, g2548]; [i8333, g1351]; [g4360, g2548]; [i9422, g3769, i11841, i11842]; g2548; 00; 10133
14; g4360; g7097; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, g7097]; [i8333, i12881]; [g4360, g7097]; [i9422, g7174]; g7097; 11; 9316
15; g4360; g1797; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, g1797]; [i8333, g627]; [g4360, g1797]; [i9422, g2777]; g1797; 01; 4325
16; g4360; i13196; 0; 2; 2.5065797719012406E-4; 2; 2; 8; [g4360, i13196]; [i8333, g7008]; [i13196, g4360]; [g7246, i9422]; g4360; 01; 8119
17; g4360; g7827; 0; 2; 2.5065797719012406E-4; 3; 2; 16; [g4360, g7827]; [i8333, g7575, g7173]; [g4360, g7827]; [i9422, i14603]; g4360; 001; 8459
18; g4360; i8574; 0; 2; 2.5065797719012406E-4; 5; 2; 64; [g4360, i8574]; [i8333, g3316, g2057, g2020, g3238]; [g4360, i8574]; [i9422, g4507]; g4360; 00011; 7120
