inputFileName=s208.1.bench; numberOfInputs=18; numberOfOutputs=9; numberOfGates=104; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i73.2; i88.1; 0; 2; 0.019230769230769232; 2; 2; 8; [i73.2, i88.1]; [x.3, x.1]; [i73.2, i88.1]; [i73.3, i88.4]; i73.2; 11; 7022
1; i73.2; i49; 0; 2; 0.019230769230769232; 2; 2; 8; [i73.2, i49]; [x.3, x.4]; [i73.2, i49]; [i73.3, i2.1]; i73.2; 11; 13143
2; i73.2; i164; 0; 2; 0.019230769230769232; 2; 2; 8; [i73.2, i164]; [x.3, i163]; [i73.2, i164]; [i73.3, i191.1, i165]; i73.2; 11; 6024
3; i73.2; i215; 0; 2; 0.019230769230769232; 1; 2; 4; [i73.2, i215]; [x.3]; [i73.2, i215]; [i73.3, p.3]; i215; 1; 5691
4; i73.2; i286; 0; 2; 0.019230769230769232; 2; 2; 8; [i73.2, i286]; [x.3, c.2]; [i73.2, i286]; [i73.3, i291.2]; i73.2; 10; 12009
5; i73.2; i191.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i73.2, i191.1]; [x.3, i164, x.6]; [i73.2, i191.1]; [i73.3, i162]; i73.2; 011; 16850
6; i73.2; i315.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i73.2, i315.1]; [x.3, i307, i311]; [i73.2, i315.1]; [i73.3, i269.2]; i73.2; 110; 291
7; i73.2; i66; 0; 2; 0.019230769230769232; 3; 2; 16; [i73.2, i66]; [x.3, x.1, p.0]; [i66, i73.2]; [i7.1, i73.3, i7.3]; i66; 101; 6011
8; i73.2; i222; 0; 2; 0.019230769230769232; 3; 2; 16; [i73.2, i222]; [x.3, i225, i214]; [i73.2, i222]; [i73.3, p.3, p.4]; i222; 001; 7376
9; i73.2; i208.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i73.2, i208.2]; [x.3, x.7, i249, i244]; [i73.2, i208.2]; [i73.3, p.8]; i208.2; 0101; 6913
10; i88.2; i7.1; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i7.1]; [i66, p.0]; [i7.1, i88.2]; [i7.4, i88.3]; i88.2; 11; 6094
11; i88.2; i49; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i49]; [p.0, x.4]; [i88.2, i49]; [i88.3, i2.1]; i88.2; 10; 3371
12; i88.2; i225; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i225]; [p.0, i224]; [i88.2, i225]; [i88.3, i222]; i225; 11; 3674
13; i88.2; i242; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i242]; [p.0, x.6]; [i88.2, i242]; [i88.3, i249, i206.2]; i242; 01; 45
14; i88.2; i252; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i252]; [p.0, i251]; [i88.2, i252]; [i88.3, i249]; i252; 00; 5739
15; i88.2; i73.4; 0; 2; 0.019230769230769232; 3; 2; 16; [i88.2, i73.4]; [p.0, x.3, i73.1]; [i88.2, i73.4]; [i88.3, i13]; i73.4; 011; 6695
16; i88.2; i295.2; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i295.2]; [p.0, c.0]; [i88.2, i295.2]; [i88.3, i290]; i88.2; 10; 8223
17; i88.2; i113; 0; 2; 0.019230769230769232; 3; 2; 16; [i88.2, i113]; [p.0, i182.3, i182.4]; [i113, i88.2]; [i88.3]; i88.2; 011; 22411
18; i88.2; i251; 0; 2; 0.019230769230769232; 2; 2; 8; [i88.2, i251]; [p.0, i241]; [i251, i88.2]; [i252, i88.3, i206.2]; i251; 01; 7689
19; i88.2; p.3; 0; 2; 0.019230769230769232; 3; 2; 16; [i88.2, p.3]; [p.0, i215, i222]; [p.3, i88.2]; [i283, i88.3]; i88.2; 111; 6514
20; i105.2; i50; 0; 2; 0.019230769230769232; 2; 2; 8; [i105.2, i50]; [x.3, x.6]; [i105.2, i50]; [i105.3, i70.1, i95.1, i2.1]; i50; 01; 10736
21; i105.2; i149; 0; 2; 0.019230769230769232; 1; 2; 4; [i105.2, i149]; [x.6]; [i105.2, i149]; [i105.3, i188.1]; i149; 1; 245
22; i105.2; i286; 0; 2; 0.019230769230769232; 2; 2; 8; [i105.2, i286]; [x.6, c.2]; [i105.2, i286]; [i105.3, i291.2]; i286; 11; 6615
23; i105.2; p.6; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, p.6]; [x.6, i209.1, i206.2]; [p.6, i105.2]; [i306, i105.3]; p.6; 101; 8590
24; i105.2; i270.3; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, i270.3]; [x.6, p.8, c.8]; [i105.2, i270.3]; [i105.3, z]; i105.2; 011; 5602
25; i105.2; i315.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, i315.2]; [x.6, i306, i310]; [i105.2, i315.2]; [i105.3, i269.2]; i105.2; 110; 3978
26; i105.2; i222; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, i222]; [x.6, i225, i214]; [i105.2, i222]; [i105.3, p.3, p.4]; i222; 000; 14413
27; i105.2; i162; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, i162]; [x.6, i148, i191.1]; [i162, i105.2]; [i161, i105.3]; i162; 111; 7934
28; i105.2; i205.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i105.2, i205.2]; [x.6, i240, i241]; [i105.2, i205.2]; [i105.3, p.5]; i105.2; 101; 3105
29; i240; i73.2; 0; 2; 0.019230769230769232; 2; 2; 8; [i240, i73.2]; [x.3, p.0]; [i73.2, i240]; [i73.3, i205.2]; i240; 11; 3148
30; i240; i88.1; 0; 2; 0.019230769230769232; 2; 2; 8; [i240, i88.1]; [x.1, p.0]; [i88.1, i240]; [i88.4, i205.2]; i240; 11; 3138
31; i240; i105.2; 0; 2; 0.019230769230769232; 2; 2; 8; [i240, i105.2]; [x.6, p.0]; [i105.2, i240]; [i105.3, i205.2]; i105.2; 00; 6072
32; i240; i212; 0; 2; 0.019230769230769232; 1; 2; 4; [i240, i212]; [p.0]; [i212, i240]; [p.1, i205.2]; i240; 0; 5833
33; i240; i216; 0; 2; 0.019230769230769232; 2; 2; 8; [i240, i216]; [x.4, p.0]; [i216, i240]; [p.4, i205.2]; i240; 01; 2916
34; i240; i310; 0; 2; 0.019230769230769232; 2; 2; 8; [i240, i310]; [p.0, c.6]; [i310, i240]; [i315.2, i205.2]; i240; 01; 5661
35; i240; i73.3; 0; 2; 0.019230769230769232; 3; 2; 16; [i240, i73.3]; [p.0, i69, i73.2]; [i73.3, i240]; [i13, i205.2]; i73.3; 100; 5880
36; i240; i182.3; 0; 2; 0.019230769230769232; 3; 2; 16; [i240, i182.3]; [p.0, x.5, i182.2]; [i182.3, i240]; [i113, i205.2]; i240; 010; 3072
37; i240; i70.1; 0; 2; 0.019230769230769232; 4; 2; 32; [i240, i70.1]; [p.0, i68, x.4, i50]; [i70.1, i240]; [i12, i205.2]; i70.1; 0110; 5558
38; i240; i270.2; 7; 7; 0.0673076923076923; 8; 1; 256; [i240, i205.2, p.5, i319.1, i314, i269.2, i270.2]; [p.0, i209.1, c.5, i269.1, i315.1, i315.2, i241, i319.2]; [i270.2]; [z]; i270.2; 01010110; 5646
39; i240; i163; 0; 2; 0.019230769230769232; 3; 2; 16; [i240, i163]; [p.0, x.5, i1.2]; [i163, i240]; [i105.1, i164, i105.3, i188.1, i205.2]; i163; 101; 15311
40; i240; i207.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i240, i207.2]; [p.0, i243, i249]; [i207.2, i240]; [p.7, i205.2]; i240; 110; 6451
41; i244; i50; 0; 2; 0.019230769230769232; 2; 2; 8; [i244, i50]; [x.3, x.8]; [i50, i244]; [i70.1, i95.1, i2.1, i208.2]; i50; 00; 6220
42; i244; i164; 0; 2; 0.019230769230769232; 2; 2; 8; [i244, i164]; [i163, x.8]; [i164, i244]; [i191.1, i165, i208.2]; i244; 10; 3512
43; i244; i283; 0; 2; 0.019230769230769232; 2; 2; 8; [i244, i283]; [x.8, p.3]; [i283, i244]; [i291.1, i208.2]; i283; 01; 6126
44; i244; p.6; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, p.6]; [x.8, i209.1, i206.2]; [p.6, i244]; [i306, i208.2]; p.6; 110; 125
45; i244; i295.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, i295.2]; [x.8, p.0, c.0]; [i244, i295.2]; [i208.2, i290]; i244; 010; 8416
46; i244; i167.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, i167.1]; [x.8, i165, i148]; [i167.1, i244]; [i110, i208.2]; i244; 000; 5779
47; i244; i270.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, i270.2]; [x.8, i269.1, i269.2]; [i270.2, i244]; [z, i208.2]; i270.2; 111; 5925
48; i244; i251; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, i251]; [x.8, i241, p.0]; [i251, i244]; [i252, i206.2, i208.2]; i251; 111; 5499
49; i244; i269.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i244, i269.2]; [x.8, i315.1, i315.2, i314]; [i269.2, i244]; [i270.2, i208.2]; i269.2; 1000; 2913
50; i244; i206.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i244, i206.2]; [x.8, i242, i251]; [i206.2, i244]; [p.6, i208.2]; i244; 111; 5615
51; i306; i49; 0; 2; 0.019230769230769232; 2; 2; 8; [i306, i49]; [x.4, p.6]; [i306, i49]; [i315.2, i2.1]; i49; 00; 15404
52; i306; i213; 0; 2; 0.019230769230769232; 2; 2; 8; [i306, i213]; [x.1, p.6]; [i306, i213]; [i315.2, i224, p.1]; i213; 00; 8726
53; i306; i283; 0; 2; 0.019230769230769232; 2; 2; 8; [i306, i283]; [p.3, p.6]; [i283, i306]; [i291.1, i315.2]; i283; 00; 8238
54; i306; i105.3; 0; 2; 0.019230769230769232; 3; 2; 16; [i306, i105.3]; [p.6, i163, i105.2]; [i306, i105.3]; [i315.2, i112]; i105.3; 101; 5661
55; i306; i70.1; 0; 2; 0.019230769230769232; 4; 2; 32; [i306, i70.1]; [p.6, i68, x.4, i50]; [i306, i70.1]; [i315.2, i12]; i70.1; 1101; 5677
56; i306; i95.1; 0; 2; 0.019230769230769232; 4; 2; 32; [i306, i95.1]; [p.6, i64, i50, i48]; [i306, i95.1]; [i315.2, i62]; i306; 1110; 31
57; i306; i224; 0; 2; 0.019230769230769232; 3; 2; 16; [i306, i224]; [p.6, i213, p.0]; [i224, i306]; [i225, i315.2, p.2]; i306; 100; 2867
58; i306; p.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i306, p.1]; [p.6, i212, i213]; [p.1, i306]; [i295.1, i315.2]; i306; 010; 5637
59; i182.3; i73.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i182.3, i73.2]; [x.3, x.5, i182.2]; [i73.2, i182.3]; [i73.3, i113]; i73.2; 000; 2870
60; i182.3; i7.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i182.3, i7.1]; [i66, x.5, i182.2]; [i7.1, i182.3]; [i7.4, i113]; i182.3; 001; 5608
61; i182.3; i48; 0; 2; 0.019230769230769232; 3; 2; 16; [i182.3, i48]; [p.0, x.5, i182.2]; [i48, i182.3]; [i95.1, i113, i69]; i182.3; 000; 5679
62; i182.3; i49; 5; 5; 0.04807692307692308; 5; 2; 64; [i49, i2.1, i1.2, i182.2, i182.3]; [x.4, x.5, p.0, i64, i50]; [i1.2, i182.3]; [i182.4, i113, i163]; i1.2; 10010; 3174
63; i182.3; i148; 0; 2; 0.019230769230769232; 3; 2; 16; [i182.3, i148]; [x.7, x.5, i182.2]; [i148, i182.3]; [i167.1, i113, i188.1, i162]; i182.3; 010; 3214
64; i182.3; i244; 0; 2; 0.019230769230769232; 3; 2; 16; [i182.3, i244]; [x.8, x.5, i182.2]; [i182.3, i244]; [i113, i208.2]; i182.3; 110; 18033
65; i182.3; i88.4; 0; 2; 0.019230769230769232; 4; 2; 32; [i182.3, i88.4]; [p.0, i88.1, x.5, i182.2]; [i88.4, i182.3]; [i15, i113]; i88.4; 1110; 5773
66; i182.3; i13; 0; 2; 0.019230769230769232; 4; 2; 32; [i182.3, i13]; [x.5, i182.2, i73.3, i73.4]; [i13, i182.3]; [i113]; i182.3; 0111; 5632
67; i182.3; i188.1; 0; 2; 0.019230769230769232; 5; 2; 64; [i182.3, i188.1]; [x.5, i182.2, i163, i149, i148]; [i182.3, i188.1]; [i113, i159]; i188.1; 00011; 5586
68; i182.3; i249; 0; 2; 0.019230769230769232; 4; 2; 32; [i182.3, i249]; [x.5, i182.2, i252, i242]; [i182.3, i249]; [i113, i207.2, i208.2]; i182.3; 1101; 2854
69; i182.3; i314; 0; 2; 0.019230769230769232; 4; 2; 32; [i182.3, i314]; [x.5, i182.2, i319.1, i319.2]; [i182.3, i314]; [i113, i269.2]; i182.3; 0111; 5596
70; i15; i7.1; 0; 2; 0.019230769230769232; 3; 2; 16; [i15, i7.1]; [i66, i88.3, i88.4]; [i15, i7.1]; [i7.4]; i7.1; 001; 2782
71; i15; i149; 0; 2; 0.019230769230769232; 3; 2; 16; [i15, i149]; [x.6, i88.3, i88.4]; [i15, i149]; [i188.1]; i15; 000; 2782
72; i15; i212; 0; 2; 0.019230769230769232; 3; 2; 16; [i15, i212]; [p.0, i88.3, i88.4]; [i15, i212]; [p.1]; i15; 010; 2855
73; i15; i307; 0; 2; 0.019230769230769232; 3; 2; 16; [i15, i307]; [p.7, i88.3, i88.4]; [i15, i307]; [i315.1]; i307; 101; 2781
74; i15; i7.3; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i7.3]; [i66, i7.2, i88.3, i88.4]; [i15, i7.3]; [i14]; i15; 0100; 2801
75; i15; p.5; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, p.5]; [i209.1, i205.2, i88.3, i88.4]; [i15, p.5]; [i319.1]; p.5; 0001; 5536
76; i15; i319.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i319.2]; [p.4, c.4, i88.3, i88.4]; [i15, i319.2]; [i314]; i15; 0110; 10686
77; i15; i270.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i270.2]; [i88.3, i88.4, i269.1, i269.2]; [i15, i270.2]; [z]; i270.2; 1000; 13045
78; i15; i251; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i251]; [i88.3, i88.4, i241, p.0]; [i15, i251]; [i252, i206.2]; i251; 0100; 2823
79; i15; i2.1; 0; 2; 0.019230769230769232; 5; 2; 64; [i15, i2.1]; [i88.3, i88.4, i64, i49, i50]; [i15, i2.1]; [i1.2]; i15; 00101; 5880
80; i15; i162; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i162]; [i88.3, i88.4, i148, i191.1]; [i15, i162]; [i161]; i15; 1110; 8227
81; i15; i205.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i15, i205.2]; [i88.3, i88.4, i240, i241]; [i15, i205.2]; [p.5]; i205.2; 1101; 2847
82; i15; i208.2; 0; 2; 0.019230769230769232; 5; 2; 64; [i15, i208.2]; [i88.3, i88.4, x.7, i249, i244]; [i15, i208.2]; [p.8]; i208.2; 11010; 5531
83; i165; i7.2; 0; 2; 0.019230769230769232; 3; 2; 16; [i165, i7.2]; [x.2, i164, x.6]; [i7.2, i165]; [i7.3, i167.1, i170.1]; i165; 010; 5555
84; i165; i164; 2; 2; 0.019230769230769232; 2; 2; 8; [i164, i165]; [i163, x.6]; [i164, i165]; [i191.1, i167.1, i170.1]; i164; 01; 27
85; i165; i306; 0; 2; 0.019230769230769232; 3; 2; 16; [i165, i306]; [p.6, i164, x.6]; [i165, i306]; [i167.1, i170.1, i315.2]; i165; 111; 5541
86; i165; i191.1; 0; 2; 0.019230769230769232; 2; 2; 8; [i165, i191.1]; [i164, x.6]; [i165, i191.1]; [i167.1, i170.1, i162]; i191.1; 10; 2783
87; i165; i70.1; 0; 2; 0.019230769230769232; 5; 2; 64; [i165, i70.1]; [i68, x.4, i50, i164, x.6]; [i165, i70.1]; [i167.1, i170.1, i12]; i165; 10111; 3094
88; i165; i291.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i165, i291.2]; [i282, i286, i164, x.6]; [i165, i291.2]; [i167.1, i170.1, i269.1]; i291.2; 1000; 2908
89; i165; i315.1; 0; 2; 0.019230769230769232; 4; 2; 32; [i165, i315.1]; [i307, i311, i164, x.6]; [i165, i315.1]; [i167.1, i170.1, i269.2]; i315.1; 0001; 5534
90; i165; i249; 0; 2; 0.019230769230769232; 4; 2; 32; [i165, i249]; [i164, x.6, i252, i242]; [i165, i249]; [i167.1, i170.1, i207.2, i208.2]; i249; 1000; 5521
91; i165; i207.2; 0; 2; 0.019230769230769232; 4; 2; 32; [i165, i207.2]; [i164, x.6, i243, i249]; [i207.2, i165]; [p.7, i167.1, i170.1]; i165; 0011; 16531
92; p.1; i88.1; 0; 2; 0.019230769230769232; 3; 2; 16; [p.1, i88.1]; [x.1, i212, i213]; [i88.1, p.1]; [i88.4, i295.1]; p.1; 110; 5471
93; p.1; i182.1; 0; 2; 0.019230769230769232; 3; 2; 16; [p.1, i182.1]; [x.5, i212, i213]; [i182.1, p.1]; [i182.4, i295.1]; p.1; 010; 37
